model,MAE,RMSE,R2
Random Forest,3.3649391176639036,5.37656865858989,0.9605377800738893
Linear Regression,3.7256433975795953,5.623762459669541,0.9568257246322166
Decision Tree,3.9927954837124693,6.6345326770182655,0.939911440153302
